9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd40, 9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd28, 9'd14, 9'd14, 9'd42, 9'd14, 9'd14, 9'd14, 9'd9,  9'd9,  9'd9,  9'd12, 9'd12, 9'd5,  9'd5,  9'd20, 9'd1,  9'd1,  9'd18, 9'd4,  9'd4,  9'd4,  9'd4,  9'd13, 9'd13, 9'd13, 9'd39, 9'd13, 9'd13, 9'd26, 9'd0,  
9'd0,  9'd28, 9'd14, 9'd14, 9'd42, 9'd14, 9'd14, 9'd14, 9'd14, 9'd14, 9'd9,  9'd9,  9'd12, 9'd12, 9'd5,  9'd20, 9'd1,  9'd18, 9'd4,  9'd4,  9'd4,  9'd13, 9'd13, 9'd13, 9'd13, 9'd13, 9'd39, 9'd13, 9'd13, 9'd26, 9'd0,  
9'd0,  9'd22, 9'd11, 9'd14, 9'd42, 9'd14, 9'd14, 9'd14, 9'd14, 9'd14, 9'd14, 9'd14, 9'd9,  9'd12, 9'd50, 9'd50, 9'd50, 9'd4,  9'd4,  9'd13, 9'd13, 9'd13, 9'd13, 9'd13, 9'd13, 9'd13, 9'd39, 9'd13, 9'd6,  9'd12, 9'd0,  
9'd0,  9'd22, 9'd11, 9'd33, 9'd11, 9'd11, 9'd11, 9'd11, 9'd11, 9'd14, 9'd14, 9'd14, 9'd14, 9'd50, 9'd50, 9'd50, 9'd50, 9'd50, 9'd13, 9'd13, 9'd13, 9'd13, 9'd6,  9'd6,  9'd6,  9'd6,  9'd6,  9'd18, 9'd6,  9'd12, 9'd0,  
9'd22, 9'd11, 9'd11, 9'd33, 9'd11, 9'd11, 9'd11, 9'd11, 9'd11, 9'd11, 9'd11, 9'd11, 9'd11, 9'd50, 9'd50, 9'd50, 9'd50, 9'd50, 9'd6,  9'd6,  9'd6,  9'd6,  9'd6,  9'd6,  9'd6,  9'd6,  9'd6,  9'd18, 9'd6,  9'd6,  9'd12, 
9'd0,  9'd22, 9'd11, 9'd33, 9'd11, 9'd11, 9'd11, 9'd11, 9'd11, 9'd8,  9'd8,  9'd8,  9'd8,  9'd50, 9'd50, 9'd50, 9'd50, 9'd50, 9'd10, 9'd10, 9'd10, 9'd10, 9'd6,  9'd6,  9'd6,  9'd6,  9'd6,  9'd18, 9'd6,  9'd12, 9'd0,  
9'd0,  9'd22, 9'd11, 9'd8,  9'd24, 9'd8,  9'd8,  9'd8,  9'd8,  9'd8,  9'd8,  9'd8,  9'd16, 9'd16, 9'd50, 9'd50, 9'd50, 9'd2,  9'd15, 9'd10, 9'd10, 9'd10, 9'd10, 9'd10, 9'd10, 9'd10, 9'd30, 9'd10, 9'd6,  9'd12, 9'd0,  
9'd0,  9'd16, 9'd8,  9'd8,  9'd24, 9'd8,  9'd8,  9'd8,  9'd8,  9'd8,  9'd16, 9'd16, 9'd16, 9'd7,  9'd19, 9'd3,  9'd17, 9'd2,  9'd2,  9'd15, 9'd15, 9'd10, 9'd10, 9'd10, 9'd10, 9'd10, 9'd30, 9'd10, 9'd10, 9'd20, 9'd0,  
9'd0,  9'd16, 9'd8,  9'd8,  9'd24, 9'd8,  9'd8,  9'd8,  9'd16, 9'd16, 9'd16, 9'd16, 9'd7,  9'd19, 9'd19, 9'd3,  9'd17, 9'd17, 9'd2,  9'd2,  9'd15, 9'd15, 9'd15, 9'd10, 9'd10, 9'd10, 9'd30, 9'd10, 9'd10, 9'd20, 9'd0,  
9'd0,  9'd16, 9'd8,  9'd8,  9'd24, 9'd24, 9'd16, 9'd16, 9'd16, 9'd16, 9'd16, 9'd7,  9'd7,  9'd19, 9'd19, 9'd3,  9'd17, 9'd17, 9'd2,  9'd2,  9'd2,  9'd15, 9'd15, 9'd15, 9'd15, 9'd30, 9'd30, 9'd10, 9'd10, 9'd20, 9'd0,  
9'd0,  9'd0,  9'd16, 9'd8,  9'd16, 9'd48, 9'd16, 9'd16, 9'd16, 9'd16, 9'd7,  9'd7,  9'd19, 9'd19, 9'd19, 9'd3,  9'd17, 9'd17, 9'd17, 9'd2,  9'd2,  9'd2,  9'd15, 9'd15, 9'd15, 9'd45, 9'd15, 9'd10, 9'd20, 9'd0,  9'd0,  
9'd0,  9'd0,  9'd32, 9'd16, 9'd16, 9'd16, 9'd48, 9'd16, 9'd16, 9'd7,  9'd7,  9'd7,  9'd19, 9'd19, 9'd3,  9'd3,  9'd3,  9'd17, 9'd17, 9'd2,  9'd2,  9'd2,  9'd2,  9'd15, 9'd45, 9'd15, 9'd15, 9'd15, 9'd30, 9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd32, 9'd16, 9'd16, 9'd48, 9'd48, 9'd7,  9'd7,  9'd7,  9'd19, 9'd19, 9'd19, 9'd3,  9'd3,  9'd3,  9'd17, 9'd17, 9'd17, 9'd2,  9'd2,  9'd2,  9'd6,  9'd45, 9'd15, 9'd15, 9'd30, 9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd32, 9'd32, 9'd16, 9'd16, 9'd21, 9'd21, 9'd7,  9'd7,  9'd19, 9'd19, 9'd19, 9'd3,  9'd3,  9'd3,  9'd17, 9'd17, 9'd17, 9'd2,  9'd2,  9'd6,  9'd6,  9'd2,  9'd15, 9'd30, 9'd30, 9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd32, 9'd32, 9'd7,  9'd7,  9'd7,  9'd21, 9'd57, 9'd19, 9'd19, 9'd19, 9'd3,  9'd3,  9'd3,  9'd17, 9'd17, 9'd17, 9'd51, 9'd6,  9'd2,  9'd2,  9'd2,  9'd4,  9'd30, 9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd14, 9'd14, 9'd7,  9'd7,  9'd7,  9'd57, 9'd57, 9'd57, 9'd57, 9'd3,  9'd3,  9'd3,  9'd51, 9'd51, 9'd51, 9'd51, 9'd2,  9'd2,  9'd2,  9'd4,  9'd4,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd14, 9'd14, 9'd7,  9'd19, 9'd19, 9'd19, 9'd19, 9'd19, 9'd9,  9'd9,  9'd9,  9'd17, 9'd17, 9'd17, 9'd17, 9'd17, 9'd2,  9'd4,  9'd4,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd14, 9'd38, 9'd19, 9'd19, 9'd19, 9'd3,  9'd3,  9'd3,  9'd3,  9'd3,  9'd17, 9'd17, 9'd17, 9'd34, 9'd4,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd38, 9'd38, 9'd38, 9'd6,  9'd6,  9'd3,  9'd6,  9'd6,  9'd34, 9'd34, 9'd34, 9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd6,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
